timestamp,message,logStreamName
1721620813202,"[0m[31m05:00:13,202 ERROR [org.quartz.core.ErrorLogger] (MyClusteredScheduler_QuartzSchedulerThread) An error occurred while scanning for the next triggers to fire.: org.quartz.JobPersistenceException: Couldn't acquire next trigger: Transaction (Process ID 1187) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction. [See nested exception: com.microsoft.sqlserver.jdbc.SQLServerException: Transaction (Process ID 1187) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction.]",smartoffice/smartoffice/7d3772adaa9e40aebf4c1844bab982b5
1721624402615,"[0m[31m06:00:02,614 ERROR [org.quartz.core.ErrorLogger] (MyClusteredScheduler_QuartzSchedulerThread) An error occurred while scanning for the next triggers to fire.: org.quartz.JobPersistenceException: Couldn't acquire next trigger: Transaction (Process ID 1108) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction. [See nested exception: com.microsoft.sqlserver.jdbc.SQLServerException: Transaction (Process ID 1108) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction.]",smartoffice/smartoffice/7d3772adaa9e40aebf4c1844bab982b5
1721634110295,"[0m[31m08:41:50,294 ERROR [org.quartz.core.ErrorLogger] (MyClusteredScheduler_QuartzSchedulerThread) An error occurred while scanning for the next triggers to fire.: org.quartz.JobPersistenceException: Couldn't acquire next trigger: Transaction (Process ID 463) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction. [See nested exception: com.microsoft.sqlserver.jdbc.SQLServerException: Transaction (Process ID 463) was deadlocked on lock resources with another process and has been chosen as the deadlock victim. Rerun the transaction.]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721636774441,"[0m[31m09:26:14,441 ERROR [org.keycloak.adapters.RefreshableKeycloakSecurityContext] (default task-155) Refresh token failure status: 400 {""error"":""invalid_grant"",""error_description"":""Session not active""}",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721641563530,"[0m[33m10:46:03,530 WARN  [com.unicard.payments.a3ds.ThreeDSecureHttpUtil$1] (default task-358) Unknown property: errorComponent. Reading [GET https://3ds2s.cardeasexml.com:9603/api/v2/auth/brw/result?threeDSServerTransID=1c8f8d2e-50a2-4b76-a807-0afb0251d5b0]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721641563530,"[0m[33m10:46:03,530 WARN  [com.unicard.payments.a3ds.ThreeDSecureHttpUtil$1] (default task-358) Unknown property: errorDescription. Reading [GET https://3ds2s.cardeasexml.com:9603/api/v2/auth/brw/result?threeDSServerTransID=1c8f8d2e-50a2-4b76-a807-0afb0251d5b0]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721641563531,"[0m[33m10:46:03,531 WARN  [com.unicard.payments.a3ds.ThreeDSecureHttpUtil$1] (default task-358) Unknown property: errorCode. Reading [GET https://3ds2s.cardeasexml.com:9603/api/v2/auth/brw/result?threeDSServerTransID=1c8f8d2e-50a2-4b76-a807-0afb0251d5b0]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721641563531,"[0m[33m10:46:03,531 WARN  [com.unicard.payments.a3ds.ThreeDSecureHttpUtil$1] (default task-358) Unknown property: errorDetail. Reading [GET https://3ds2s.cardeasexml.com:9603/api/v2/auth/brw/result?threeDSServerTransID=1c8f8d2e-50a2-4b76-a807-0afb0251d5b0]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721641578441,"[0m[33m10:46:18,441 WARN  [com.unicard.payments.a3ds.ThreeDSecureHttpUtil$1] (default task-358) Unknown property: errorComponent. Reading [GET https://3ds2s.cardeasexml.com:9603/api/v2/auth/brw/result?threeDSServerTransID=1c8f8d2e-50a2-4b76-a807-0afb0251d5b0]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721641578441,"[0m[33m10:46:18,441 WARN  [com.unicard.payments.a3ds.ThreeDSecureHttpUtil$1] (default task-358) Unknown property: errorDescription. Reading [GET https://3ds2s.cardeasexml.com:9603/api/v2/auth/brw/result?threeDSServerTransID=1c8f8d2e-50a2-4b76-a807-0afb0251d5b0]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721641578442,"[0m[33m10:46:18,441 WARN  [com.unicard.payments.a3ds.ThreeDSecureHttpUtil$1] (default task-358) Unknown property: errorCode. Reading [GET https://3ds2s.cardeasexml.com:9603/api/v2/auth/brw/result?threeDSServerTransID=1c8f8d2e-50a2-4b76-a807-0afb0251d5b0]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
1721641578442,"[0m[33m10:46:18,442 WARN  [com.unicard.payments.a3ds.ThreeDSecureHttpUtil$1] (default task-358) Unknown property: errorDetail. Reading [GET https://3ds2s.cardeasexml.com:9603/api/v2/auth/brw/result?threeDSServerTransID=1c8f8d2e-50a2-4b76-a807-0afb0251d5b0]",smartoffice/smartoffice/cad7839009924e36b24e58d17900bbb1
